"","AMAK","ASAP","BAM","SS"
"1",100,100,100,100
"2",100,100,100,100
"3",100,100,100,100
"4",100,100,100,100
"5",100,100,100,100
"6",100,100,100,100
"7",100,100,100,100
"8",100,100,100,100
"9",100,100,100,100
"10",100,100,100,100
"11",100,100,100,100
"12",100,100,100,100
"13",100,100,100,100
"14",100,100,100,100
"15",100,100,100,100
"16",100,100,100,100
"17",95,85,77,88
"18",100,100,100,100
"19",100,100,100,100
"20",100,100,100,100
"21",91,86,87,91
"22",100,100,100,100
"23",100,100,100,100
"24",84,75,78,87
"25",77,70,72,78
"26",78,74,69,75
"27",84,77,73,81
"28",100,100,100,100
"29",58,60,54,51
"30",100,100,100,100
